"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1788968428851880254","Fri May 10 16:24:45 +0000 2024","0","Dukung penetapan hasil Pemilu 2024 Presiden terpilih Prabowo-Gibran https://t.co/sfyAwGmx9u","1788968428851880254","https://pbs.twimg.com/media/GNOxTZva0AEQMjv.jpg","","in","","0","0","0","https://twitter.com/KeroZaok/status/1788968428851880254","1620274063808794624","KeroZaok"
"1788968390042026310","Fri May 10 16:24:36 +0000 2024","0","Dukung penetapan hasil Pemilu 2024 Presiden terpilih Prabowo-Gibran https://t.co/V8xEoy3QWi","1788968390042026310","https://pbs.twimg.com/media/GNOxRMWasAATrNb.jpg","","in","","0","0","0","https://twitter.com/KeroZaok/status/1788968390042026310","1620274063808794624","KeroZaok"
"1788968349457863114","Fri May 10 16:24:26 +0000 2024","0","Dukung penetapan hasil Pemilu 2024 Presiden terpilih Prabowo-Gibran https://t.co/eNiB9zfLyr","1788968349457863114","https://pbs.twimg.com/media/GNOxOmXagAAHloq.jpg","","in","","0","0","0","https://twitter.com/KeroZaok/status/1788968349457863114","1620274063808794624","KeroZaok"
"1788929051488641417","Fri May 10 13:48:17 +0000 2024","1","Ide Cemerlang Presiden Terpilih Prabowo Gibran. Mahalini botak Muhammadiyah Rasis NEGARA LUCU Vina Jhonny Iskandar Dewangga Wahabi #GarudaMendunia #SalmaSalsabil https://t.co/RzJdj4jTyO","1788929051488641417","https://pbs.twimg.com/ext_tw_video_thumb/1788928797410246656/pu/img/3625_Emq33_HFY3X.jpg","","in","","0","0","1","https://twitter.com/TheresiaSetiar/status/1788929051488641417","1606510889662050304","TheresiaSetiar"
"1788917830903373827","Fri May 10 13:03:42 +0000 2024","1","Semoga Presiden dan Wapres terpilih Prabowo-Gibran dapat menjalankan amanah rakyat dan membawa Indonesia menjadi negara yang lebih sejahtera. #StopProvokasi #JagaPersatuan #JagaPerdamaian #Pilpres2024 #Indonesia https://t.co/9pM2pnRmEH","1788917830903373827","https://pbs.twimg.com/media/GNODSIuaQAA5Kni.jpg","","in","Kathmandu,Nepal","0","0","0","https://twitter.com/SagunShahi/status/1788917830903373827","297182916","SagunShahi"
"1788917807062872395","Fri May 10 13:03:36 +0000 2024","1","Semoga Presiden dan Wapres terpilih Prabowo-Gibran dapat menjalankan amanah rakyat dan membawa Indonesia menjadi negara yang lebih sejahtera. #StopProvokasi #JagaPersatuan #JagaPerdamaian #Pilpres2024 #Indonesia https://t.co/zOeUQ6xn0A","1788917807062872395","https://pbs.twimg.com/media/GNODQyaacAEaVn6.jpg","","in","Kathmandu,Nepal","0","0","0","https://twitter.com/SagunShahi/status/1788917807062872395","297182916","SagunShahi"
"1788917784782721228","Fri May 10 13:03:31 +0000 2024","1","Semoga Presiden dan Wapres terpilih Prabowo-Gibran dapat menjalankan amanah rakyat dan membawa Indonesia menjadi negara yang lebih sejahtera. #StopProvokasi #JagaPersatuan #JagaPerdamaian #Pilpres2024 #Indonesia https://t.co/G14TCSc7ZN","1788917784782721228","https://pbs.twimg.com/media/GNOCyD-bAAAECRo.jpg","","in","Kathmandu,Nepal","0","0","0","https://twitter.com/SagunShahi/status/1788917784782721228","297182916","SagunShahi"
"1788901083240386621","Fri May 10 11:57:09 +0000 2024","2","Kurang dari 6 bulan jelang pelantikan Presiden dan Wakil Presiden terpilih Prabowo Subianto dan Gibran Rakabuming Raka muncul wacana untuk menambah jumlah Kementerian. #DuaArah","1788901083240386621","","","in","Indonesia","1","4","1","https://twitter.com/KompasTV/status/1788901083240386621","71436318","KompasTV"
"1788869366538502475","Fri May 10 09:51:07 +0000 2024","1","Jakarta - Muncul isu jumlah pos kementerian di kabinet menteri Presiden dan Wakil Presiden terpilih Prabowo Subianto-Gibran Rakabuming Raka akan bertambah dari pemerintahan Presiden Joko Widodo (Jokowi)-Wapres Ma'ruf Amin. Gerindra.","1788869369508041012","","AdhigkKurniawan","in","","0","1","0","https://twitter.com/AdhigkKurniawan/status/1788869369508041012","781964905","AdhigkKurniawan"
"1788864957897171182","Fri May 10 09:33:42 +0000 2024","0","Sebelumnya diberitakan Ganjar Pranowo kembali menegaskan tidak akan bergabung dalam pemerintahan presiden dan wakil presiden terpilih Prabowo Subianto-Gibran Rakabuming Raka. Gerindra.","1788864984287748145","","alfisahdinardi","in","","0","1","0","https://twitter.com/alfisahdinardi/status/1788864984287748145","1614854441127284737","alfisahdinardi"
